unique_row,randomstate,rows,features,gcq,gamma,N,Sq_zz,Sc,Sq_covariant_qka,SVC train,SVC test,sqrt_n,gcq/sqrt_n,untrained_qsvc_train,untrained_qsvc_test,trained_qsvc_train,trained_qsvc_test
74796512_1000_10,74796512,1000,10,3.6494626681750852,0.5,499,285.6743724141861,14.230614686617628,20.811142845777795,0.8577154308617234,0.834,22.338307903688676,0.1633723863020286,0.8517034068136272,0.832,0.843687374749499,0.782
3543374_100_10,3543374,100,10,2.4159492546806827,0.25,49,45.64928069997228,5.588689743812235,5.520798891994939,0.9387755102040817,0.88,7.0,0.3451356078115261,0.8571428571428571,0.66,0.8775510204081632,0.76
3543374_200_10,3543374,200,10,2.754479651301706,0.5,99,85.17731150595775,7.061814107702531,6.604095523083743,0.898989898989899,0.8585858585858586,9.9498743710662,0.27683562109202225,0.8787878787878788,0.7878787878787878,0.8484848484848485,0.7575757575757576
3543374_300_10,3543374,300,10,2.769328530081534,0.5,150,120.63081074620018,8.607188467822198,7.717043628461852,0.8733333333333333,0.88,12.24744871391589,0.22611472762771778,0.88,0.8,0.8466666666666667,0.7733333333333333
3543374_400_10,3543374,400,10,2.796519989438753,0.5,199,150.4533202449952,9.087280111039036,8.042681025842285,0.864321608040201,0.91,14.106735979665885,0.1982400459943242,0.864321608040201,0.855,0.8341708542713567,0.855
3543374_500_10,3543374,500,10,3.319029079374564,0.5,249,177.90869805289688,10.231919393668704,8.42003198567545,0.8514056224899599,0.8714859437751004,15.7797338380595,0.21033492157955935,0.8554216867469879,0.8433734939759037,0.8714859437751004,0.8473895582329317
3543374_600_10,3543374,600,10,3.33043791147071,0.5,300,202.63925715375984,11.366350552270887,9.07277945795795,0.8666666666666667,0.87,17.320508075688775,0.19228292247069492,0.8533333333333334,0.8166666666666667,0.88,0.8133333333333334
3543374_700_10,3543374,700,10,3.3287927124599515,0.5,349,225.8265065563051,12.02796874840351,9.245021972674294,0.8767908309455588,0.8657142857142858,18.681541692269406,0.17818618866115513,0.8825214899713467,0.8371428571428572,0.8882521489971347,0.8542857142857143
3543374_800_10,3543374,800,10,3.299453371739294,0.5,399,245.85939642971465,13.453797463298542,9.542760249983985,0.8771929824561403,0.8646616541353384,19.974984355438178,0.16517927188468712,0.8897243107769424,0.8446115288220551,0.8796992481203008,0.8370927318295739
3543374_900_10,3543374,900,10,3.3707926336290144,0.5,450,262.3278932392117,14.273730009794235,9.968550145626068,0.9711111111111111,0.8511111111111112,21.213203435596427,0.15890068861418252,0.88,0.8422222222222222,0.8777777777777778,0.8377777777777777
3543374_1000_10,3543374,1000,10,3.3464098035133083,0.5,499,279.8090665385895,14.50134462727874,9.772168095048983,0.8817635270541082,0.844,22.338307903688676,0.14980587687936395,0.8777555110220441,0.834,0.8717434869739479,0.834
42609523_100_10,42609523,100,10,2.2059232441082783,0.5,49,45.85442548862529,5.271771064692089,5.272067453329122,1.0,0.8,7.0,0.3151318920154683,0.8979591836734694,0.64,0.9387755102040817,0.74
42609523_200_10,42609523,200,10,2.589406808557369,0.5,99,85.92403540874372,6.857023298854983,6.469772156347744,0.8686868686868687,0.7676767676767676,9.9498743710662,0.2602451761689827,0.8383838383838383,0.6565656565656566,0.8686868686868687,0.696969696969697
42609523_300_10,42609523,300,10,2.7922183713759696,0.5,150,123.62865001693345,7.664997060216251,7.404011246272148,0.88,0.8666666666666667,12.24744871391589,0.2279836753432063,0.8266666666666667,0.7333333333333333,0.86,0.74
42609523_400_10,42609523,400,10,2.7347515600740167,0.5,199,154.39203179309095,8.94423655170283,7.746434213526754,0.8693467336683417,0.855,14.106735979665885,0.19386139813036954,0.8492462311557789,0.75,0.8693467336683417,0.755
42609523_500_10,42609523,500,10,3.1584100317055874,0.5,249,183.2523796653422,9.398940933016547,8.185197473442713,0.9116465863453815,0.8594377510040161,15.7797338380595,0.2001561030191616,0.8032128514056225,0.7831325301204819,0.8273092369477911,0.8032128514056225
42609523_600_10,42609523,600,10,3.062359157608012,0.5,300,208.64168255516898,10.976928996159586,8.511663958597637,0.8533333333333334,0.8466666666666667,17.320508075688775,0.1768053884000301,0.8066666666666666,0.7833333333333333,0.8633333333333333,0.8033333333333333
42609523_700_10,42609523,700,10,3.4027265193444145,0.5,349,232.19093236655033,11.99524307739921,8.549049157649279,0.9226361031518625,0.8628571428571429,18.681541692269406,0.18214377460894965,0.7851002865329513,0.7971428571428572,0.8452722063037249,0.8171428571428572
42609523_800_10,42609523,800,10,3.2185800942120726,0.5,399,253.77167833344998,12.675874295488029,8.826117527765746,0.8646616541353384,0.849624060150376,19.974984355438178,0.16113054393135562,0.8020050125313283,0.7869674185463659,0.8646616541353384,0.8220551378446115
42609523_900_10,42609523,900,10,3.414580871164248,0.5,450,272.5047981793149,13.894845029302815,9.080743274069391,0.8355555555555556,0.8733333333333333,21.213203435596427,0.16096488592734057,0.8044444444444444,0.7777777777777778,0.8422222222222222,0.8155555555555556
42609523_1000_10,42609523,1000,10,3.910281547737263,0.5,499,289.00318711055627,14.175882066294434,9.250857620616443,0.9118236472945892,0.846,22.338307903688676,0.17504824289272003,0.7895791583166333,0.782,0.8416833667334669,0.814
37819876_100_10,37819876,100,10,2.1130633401169745,0.5,49,45.67663261450808,5.40805536769399,4.993157193203359,0.8367346938775511,0.78,7.0,0.3018661914452821,0.8163265306122449,0.68,0.8367346938775511,0.62
37819876_200_10,37819876,200,10,2.509546710340555,0.5,99,86.4156267420177,7.102321151248276,5.61157442135908,0.9292929292929293,0.898989898989899,9.9498743710662,0.2522189343051614,0.8787878787878788,0.8181818181818182,0.8383838383838383,0.7878787878787878
37819876_300_10,37819876,300,10,2.786939151186406,0.5,150,124.50664845945558,7.969599464296834,5.859270722263318,0.8866666666666667,0.8533333333333334,12.24744871391589,0.22755262881973193,0.8733333333333333,0.8066666666666666,0.8,0.76
37819876_400_10,37819876,400,10,2.687124012750089,0.5,199,155.3126556390597,9.184893963753552,6.248435176372368,0.9849246231155779,0.835,14.106735979665885,0.19048517081651178,0.8542713567839196,0.81,0.864321608040201,0.81
37819876_500_10,37819876,500,10,2.8728426101032416,0.5,249,182.86323966108682,10.136777044759583,6.397383210431144,0.8795180722891566,0.8514056224899599,15.7797338380595,0.18205900299624617,0.8473895582329317,0.8313253012048193,0.8594377510040161,0.8273092369477911
37819876_600_10,37819876,600,10,3.052791598042982,0.5,300,208.91315846870532,11.35139959922526,6.565901712048799,0.8866666666666667,0.84,17.320508075688775,0.1762530050909943,0.87,0.7933333333333333,0.8766666666666667,0.8066666666666666
37819876_700_10,37819876,700,10,2.727132676377791,0.5,349,232.1760313043983,12.327573765884154,6.659749813377857,0.8538681948424068,0.86,18.681541692269406,0.14598006531261304,0.8424068767908309,0.8314285714285714,0.8595988538681948,0.8457142857142858
37819876_800_10,37819876,800,10,3.189163262560996,0.5,399,252.8928833735771,13.217413893784396,6.711865598335862,0.8771929824561403,0.8446115288220551,19.974984355438178,0.15965786034234106,0.8671679197994987,0.8270676691729323,0.8596491228070176,0.8245614035087719
37819876_900_10,37819876,900,10,3.2170454416893093,0.5,450,270.91001035454764,13.88466719049029,6.760473269969225,0.8577777777777778,0.8511111111111112,21.213203435596427,0.15165297648025217,0.8577777777777778,0.8422222222222222,0.8577777777777778,0.8333333333333334
37819876_1000_10,37819876,1000,10,3.3904105768603032,0.5,499,287.3243214709058,14.747714290395379,4.9293212890625,0.8777555110220441,0.842,22.338307903688676,0.15177562201568778,0.8917835671342685,0.824,0.8817635270541082,0.822
40280586_100_10,40280586,100,10,2.2227899008147864,0.5,49,45.45747457143135,5.610729980411435,3.935382808869747,0.9183673469387755,0.94,7.0,0.31754141440211237,0.8163265306122449,0.84,0.8163265306122449,0.88
40280586_200_10,40280586,200,10,2.4276788634425097,0.5,99,85.52756825821143,6.768328427982169,4.671350818790415,0.8787878787878788,0.8585858585858586,9.9498743710662,0.24399090610652271,0.8888888888888888,0.7474747474747475,0.9090909090909091,0.7575757575757576
40280586_300_10,40280586,300,10,2.7931548005984697,0.5,150,121.9975987865613,7.972047259865917,4.957866160106846,0.9066666666666666,0.8466666666666667,12.24744871391589,0.2280601344690515,0.9133333333333333,0.8133333333333334,0.8733333333333333,0.82
40280586_400_10,40280586,400,10,2.691400900933899,0.5,199,151.82451294849042,9.083619401564647,5.203444654638588,0.8391959798994975,0.845,14.106735979665885,0.1907883513814543,0.864321608040201,0.845,0.8542713567839196,0.825
40280586_500_10,40280586,500,10,2.9525943954271763,0.5,249,179.37388219087845,10.059556907903243,5.325926687319225,0.9036144578313253,0.8514056224899599,15.7797338380595,0.18711306703448613,0.8795180722891566,0.8232931726907631,0.8634538152610441,0.8112449799196787
40280586_600_10,40280586,600,10,2.8278468108635924,0.5,300,204.97302485398822,11.389048921319045,5.3953542656381615,0.8733333333333333,0.8866666666666667,17.320508075688775,0.16326581174791197,0.8766666666666667,0.86,0.86,0.85
