,score_type,score_value
254,"Trained
QKA
train",0.8233333333333334
255,"Trained
QKA
test",0.8533333333333334
256,"SVC
train",0.83
257,"SVC
test",0.8666666666666667
258,"Untrained
QKA
train",0.85
259,"Untrained
QKA
test",0.8233333333333334
260,"Trained
QKA
train",0.8433333333333334
261,"Trained
QKA
test",0.8066666666666666
262,"SVC
train",0.8166666666666667
263,"SVC
test",0.8433333333333334
264,"Untrained
QKA
train",0.89
265,"Untrained
QKA
test",0.8
266,"Trained
QKA
train",0.9
267,"Trained
QKA
test",0.8033333333333333
268,"SVC
train",0.9033333333333333
269,"SVC
test",0.8333333333333334
270,"Untrained
QKA
train",0.87
271,"Untrained
QKA
test",0.8333333333333334
272,"Trained
QKA
train",0.8666666666666667
273,"Trained
QKA
test",0.8466666666666667
274,"SVC
train",0.8966666666666666
275,"SVC
test",0.87
276,"Untrained
QKA
train",0.76
277,"Untrained
QKA
test",0.7666666666666667
278,"Trained
QKA
train",0.8233333333333334
279,"Trained
QKA
test",0.8533333333333334
280,"SVC
train",0.8566666666666667
281,"SVC
test",0.8733333333333333
282,"Untrained
QKA
train",0.89
283,"Untrained
QKA
test",0.8466666666666667
284,"Trained
QKA
train",0.8633333333333333
285,"Trained
QKA
test",0.8233333333333334
286,"SVC
train",0.8733333333333333
287,"SVC
test",0.8733333333333333
288,"Untrained
QKA
train",0.7866666666666666
289,"Untrained
QKA
test",0.7566666666666667
290,"Trained
QKA
train",0.8466666666666667
291,"Trained
QKA
test",0.8266666666666667
292,"SVC
train",0.8433333333333334
293,"SVC
test",0.8533333333333334
294,"Untrained
QKA
train",0.8033333333333333
295,"Untrained
QKA
test",0.7533333333333333
296,"Trained
QKA
train",0.8666666666666667
297,"Trained
QKA
test",0.8133333333333334
298,"SVC
train",0.9233333333333333
299,"SVC
test",0.84
300,"Untrained
QKA
train",0.8433333333333334
301,"Untrained
QKA
test",0.7933333333333333
302,"Trained
QKA
train",0.88
303,"Trained
QKA
test",0.8133333333333334
304,"SVC
train",0.8733333333333333
305,"SVC
test",0.89
306,"Untrained
QKA
train",0.8466666666666667
307,"Untrained
QKA
test",0.84
308,"Trained
QKA
train",0.8533333333333334
309,"Trained
QKA
test",0.8233333333333334
310,"SVC
train",0.8533333333333334
311,"SVC
test",0.8633333333333333
312,"Untrained
QKA
train",0.85
313,"Untrained
QKA
test",0.8166666666666667
314,"Trained
QKA
train",0.8733333333333333
315,"Trained
QKA
test",0.82
316,"SVC
train",0.9266666666666666
317,"SVC
test",0.8866666666666667
318,"Untrained
QKA
train",0.83
319,"Untrained
QKA
test",0.7966666666666666
320,"Trained
QKA
train",0.8533333333333334
321,"Trained
QKA
test",0.8066666666666666
322,"SVC
train",0.9166666666666666
323,"SVC
test",0.8633333333333333
324,"Untrained
QKA
train",0.8633333333333333
325,"Untrained
QKA
test",0.7833333333333333
326,"Trained
QKA
train",0.8533333333333334
327,"Trained
QKA
test",0.77
328,"SVC
train",0.8633333333333333
329,"SVC
test",0.8
330,"Untrained
QKA
train",0.8233333333333334
331,"Untrained
QKA
test",0.8066666666666666
332,"Trained
QKA
train",0.8633333333333333
333,"Trained
QKA
test",0.8
334,"SVC
train",0.8733333333333333
335,"SVC
test",0.8566666666666667
336,"Untrained
QKA
train",0.7766666666666666
337,"Untrained
QKA
test",0.7433333333333333
338,"Trained
QKA
train",0.84
339,"Trained
QKA
test",0.8333333333333334
340,"SVC
train",0.8666666666666667
341,"SVC
test",0.8733333333333333
342,"Untrained
QKA
train",0.8133333333333334
343,"Untrained
QKA
test",0.7166666666666667
344,"Trained
QKA
train",0.8433333333333334
345,"Trained
QKA
test",0.7533333333333333
346,"SVC
train",0.8633333333333333
347,"SVC
test",0.7933333333333333
348,"Untrained
QKA
train",0.8533333333333334
349,"Untrained
QKA
test",0.8466666666666667
350,"Trained
QKA
train",0.8766666666666667
351,"Trained
QKA
test",0.8333333333333334
352,"SVC
train",0.86
353,"SVC
test",0.86
354,"Untrained
QKA
train",0.8066666666666666
355,"Untrained
QKA
test",0.74
356,"Trained
QKA
train",0.8333333333333334
357,"Trained
QKA
test",0.81
358,"SVC
train",0.86
359,"SVC
test",0.86
360,"Untrained
QKA
train",0.8233333333333334
361,"Untrained
QKA
test",0.79
362,"Trained
QKA
train",0.8466666666666667
363,"Trained
QKA
test",0.8333333333333334
364,"SVC
train",0.9333333333333333
365,"SVC
test",0.8633333333333333
366,"Untrained
QKA
train",0.7766666666666666
367,"Untrained
QKA
test",0.7333333333333333
368,"Trained
QKA
train",0.8266666666666667
369,"Trained
QKA
test",0.8133333333333334
370,"SVC
train",0.8433333333333334
371,"SVC
test",0.8466666666666667
372,"Untrained
QKA
train",0.85
373,"Untrained
QKA
test",0.79
374,"Trained
QKA
train",0.86
375,"Trained
QKA
test",0.7866666666666666
376,"SVC
train",0.85
377,"SVC
test",0.82
378,"Untrained
QKA
train",0.6933333333333334
379,"Untrained
QKA
test",0.6633333333333333
380,"Trained
QKA
train",0.8233333333333334
381,"Trained
QKA
test",0.8333333333333334
382,"SVC
train",0.8333333333333334
383,"SVC
test",0.8833333333333333
384,"Untrained
QKA
train",0.7533333333333333
385,"Untrained
QKA
test",0.6766666666666666
386,"Trained
QKA
train",0.8533333333333334
387,"Trained
QKA
test",0.78
388,"SVC
train",0.9733333333333334
389,"SVC
test",0.8033333333333333
390,"Untrained
QKA
train",0.8166666666666667
391,"Untrained
QKA
test",0.77
392,"Trained
QKA
train",0.8333333333333334
393,"Trained
QKA
test",0.8133333333333334
394,"SVC
train",0.9166666666666666
395,"SVC
test",0.8666666666666667
396,"Untrained
QKA
train",0.8533333333333334
397,"Untrained
QKA
test",0.8266666666666667
398,"Trained
QKA
train",0.87
